№,Назва товару,Категорія,Готівкова ціна
1,"Tongwei Solar (Tier 1)","Сонячні батареї","за запитом"
2,"TW Solar TWMNH-66HD575 Bifacial","Сонячні батареї","0,150 $/Вт (1 шт) / 0,146 $/Вт (опт)"
3,"TW Solar TWMNH-66HD625 Bifacial","Сонячні батареї","0,160 $/Вт (1 шт) / 0,155 $/Вт (опт)"
4,"TW Solar TWMNH-66HD630 Bifacial","Сонячні батареї","0,160 $/Вт (1 шт) / 0,155 $/Вт (опт)"
5,"Longi Solar (Tier 1)","Сонячні батареї","за запитом"
6,"Longi Solar LR5-54HIH-410M","Сонячні батареї","0,135 $/Вт (1 шт) / 0,130 $/Вт (опт)"
7,"Longi Solar LR5-54HTH-435M","Сонячні батареї","0,150 $/Вт (1 шт) / 0,145 $/Вт (опт)"
8,"Longi Solar LR5-66HIH-500M, 500Вт","Сонячні батареї","0,165 $/Вт (1 шт) / 0,160 $/Вт (опт)"
9,"Longi Solar LR8-48HGD-435M","Сонячні батареї","0,160 $/Вт (1 шт) / 0,155 $/Вт (опт)"
10,"Longi Solar LR7-54HTH-460M","Сонячні батареї","0,165 $/Вт (1 шт) / 0,160 $/Вт (опт)"
11,"LONGi Solar LR7-72HVH-640М","Сонячні батареї","0,170 $/Вт (1 шт) / 0,165 $/Вт (опт)"
12,"LONGi Solar LR7-72HVH-645М","Сонячні батареї","0,170 $/Вт (1 шт) / 0,165 $/Вт (опт)"
13,"Longi Solar LR5-72HGD-580M","Сонячні батареї","0,175 $/Вт (1 шт) / 0,170 $/Вт (опт)"
14,"Longi Solar LR5-72HTH-590M","Сонячні батареї","0,155 $/Вт (1 шт) / 0,150 $/Вт (опт)"
15,"Longi Solar LR8-66HGD-610M Bificial","Сонячні батареї","0,170 $/Вт (1 шт) / 0,165 $/Вт (опт)"
16,"Longi Solar LR8-66HGD-615M Bificial","Сонячні батареї","0,170 $/Вт (1 шт) / 0,165 $/Вт (опт)"
17,"Longi Solar LR8-66HGD-620M Bificial","Сонячні батареї","0,170 $/Вт (1 шт) / 0,165 $/Вт (опт)"
18,"Longi Solar LR7-72HTH-630M","Сонячні батареї","0,170 $/Вт (1 шт) / 0,165 $/Вт (опт)"
19,"LONGi Solar LR7-72HYD-650M Bificial","Сонячні батареї","0,175 $/Вт (1 шт) / 0,170 $/Вт (опт)"
20,"Trina solar, Tier 1","Сонячні батареї","за запитом"
21,"Trina Solar TSM-435NEG9RC.27","Сонячні батареї","0,145 $/Вт (1 шт) / 0,140 $/Вт (опт)"
22,"Trina Solar TSM-NE19R 615W (НОВИНКА!)","Сонячні батареї","0,165 $/Вт (1 шт) / 0,160 $/Вт (опт)"
23,"Trina Solar TSM-NE19R 620W (НОВИНКА!)","Сонячні батареї","0,165 $/Вт (1 шт) / 0,160 $/Вт (опт)"
24,"Trina Solar TSM-NE19R 625W (НОВИНКА!)","Сонячні батареї","0,165 $/Вт (1 шт) / 0,160 $/Вт (опт)"
25,"Jinko Solar, Tier 1","Сонячні батареї","за запитом"
26,"Jinko SolarJKM-435N-48HL4-B, 435 Вт","Сонячні батареї","0,175 $/Вт (1 шт) / 0,17 $/Вт (опт)"
27,"Jinko Solar JKM585N-72HL4V, 585Вт","Сонячні батареї","0,155 $/Вт (1 шт) / 0,15 $/Вт (опт)"
28,"JA Solar, Tier 1","Сонячні батареї","за запитом"
29,"Ja Solar JAM54D41-445/LB Bifacial","Сонячні батареї","0,165 $/Вт (1 шт) / 0,162 $/Вт (опт)"
30,"Ja Solar JAM54D41-445/LB Bifacial","Сонячні батареї","0,165 $/Вт (1 шт) / 0,162 $/Вт (опт)"
31,"Ja Solar JAM66D45-620/LB Bifacial","Сонячні батареї","0,160 $/Вт (1 шт) / 0,155 $/Вт (опт)"
