Назва товару,Ціна (готівка)
"Tongwei Solar (Tier 1)","за запитом"
"TW Solar TWMNH-66HD575 Bifacial","0,150 $/Вт"
"TW Solar TWMNH-66HD625 Bifacial","0,160 $/Вт"
"TW Solar TWMNH-66HD630 Bifacial","0,160 $/Вт"
"Longi Solar (Tier 1)","за запитом"
"Longi Solar LR5-54HIH-410M","0,135 $/Вт"
"Longi Solar LR5-54HTH-435M","0,150 $/Вт"
"Longi Solar LR5-66HIH-500M, 500Вт","0,165 $/Вт"
"Longi Solar LR8-48HGD-435M","0,160 $/Вт"
"Longi Solar LR7-54HTH-460M","0,165 $/Вт"
"LONGi Solar LR7-72HVH-640М","0,170 $/Вт"
"LONGi Solar LR7-72HVH-645М","0,170 $/Вт"
"Longi Solar LR5-72HGD-580M","0,175 $/Вт"
"Longi Solar LR5-72HTH-590M","0,155 $/Вт"
"Longi Solar LR8-66HGD-610M Bificial","0,170 $/Вт"
"Longi Solar LR8-66HGD-615M Bificial","0,170 $/Вт"
"Longi Solar LR8-66HGD-620M Bificial","0,170 $/Вт"
"Longi Solar LR7-72HTH-630M","0,170 $/Вт"
"LONGi Solar LR7-72HYD-650M Bificial","0,175 $/Вт"
"Trina solar, Tier 1","за запитом"
"Trina Solar TSM-435NEG9RC.27","0,145 $/Вт"
"Trina Solar TSM-NE19R 615W (НОВИНКА!)","0,165 $/Вт"
"Trina Solar TSM-NE19R 620W (НОВИНКА!)","0,165 $/Вт"
"Trina Solar TSM-NE19R 625W (НОВИНКА!)","0,165 $/Вт"
"Jinko Solar, Tier 1","за запитом"
"Jinko SolarJKM-435N-48HL4-B, 435 Вт","0,175 $/Вт"
"Jinko Solar JKM585N-72HL4V, 585Вт","0,155 $/Вт"
"JA Solar, Tier 1","за запитом"
"Ja Solar JAM54D41-445/LB Bifacial","0,165 $/Вт"
"Ja Solar JAM54D41-445/LB Bifacial","0,165 $/Вт"
"Ja Solar JAM66D45-620/LB Bifacial","0,160 $/Вт"
"Ja Solar JAM54D41-455/LR","0,160 $/Вт"
"Suntech (Tier 1)","за запитом"
"STP490S-I60-Nsfb+","0,165 $/Вт"
"STP625S-H66-Nsh+","0,150 $/Вт"
"TCL Solar (Tier 1)","за запитом"
"TCL  Solar HSM-ND48-DR455 Bifacial","0,170 $/Вт"
"Axioma Energy 12V","за запитом"
"AX-50P AXIOMA energy","48 $"
"AX-50M AXIOMA energy","50 $"
"AX-80P AXIOMA energy","68 $"
"AX-100P AXIOMA energy","75 $"
"AX-100M AXIOMA energy","80 $"
"AX-150M AXIOMA energy","102 $"
"AX-200M AXIOMA energy","120 $"
"Altek 12V","за запитом"
"ALM-50M Altek","52 $"
"ALM-100M Altek","70 $"
"ALM-170M Altek","108 $"
"ALM-180M Altek","128 $"
"Deye, LV (низьковольтові)","за запитом"
"Deye SUN-5KSG03LP1-EU","750 $"
"Deye SUN-6KSG05LP1-EU","750 $"
"Deye SUN-8KSG05LP1-EU","1 080 $"
"Deye SUN-10K-SG02LP1-EU","1 480 $"
"Deye SUN-10KSG05LP3-EU  (НОВИНКА)","10"
"Deye SUN-12K-SG02 LP1-EU","1 520 $"
"Deye SUN-12KSG05LP3-EU  (НОВИНКА)","1 580 $"
"Deye SUN-12KSG04LP3-EU","12"
"Deye SUN-15K-SG05LP3-EU-SM2 (НОВИНКА)","1 800 $"
"Deye SUN-16K-SG01LP1-EU (НОВИНКА)","1 850 $"
"Deye SUN-20-SG05LP3-EU-SM2 (НОВИНКА)","2 400 $"
"Deye, HV (високовольтові)","за запитом"
"Deye SUN-15K-SG01HP3-EU-АM2","15"
"Deye SUN-20K-SG01HP3-EU-АM2","20"
"Deye SUN-25K-SG01HP3-EU-AM2","1 960 $"
"Deye SUN-30K-SG02HP3-EU-AM3 (НОВИНКА)","2 600 $"
"Deye SUN-30K-SG01HP3-EU-BM3","30"
"Deye SUN-50K-SG01HP3-EU-BM4","4 050 $"
"Deye SUN-60K-SG02HP3-EU-EM6","5 200 $"
"Deye SUN-75K-SG02HP3-EU-EM6","75"
"Deye SUN-80K-SG01HP3-EU-BM6","5 500 $"
"Deye SUN-100K-SG02HP3-EU-GM10 (НОВИНКА)","6 800 $"
"Deye SUN-125K-SG02HP3-EU-GM10 (НОВИНКА)","7 100 $"
"LuxPower Tec","за запитом"
"LuxPower SNA5000 WIDE PV, 5кВт","520 $"
"LuxPower SNA6000 WIDE PV, 6кВт","570 $"
"Huawei","за запитом"
"SUN2000-5KTL-L1","€600,00"
"SUN2000-6KTL-L1","€750,00"
"SUN 2000-10KTL-M1","€1 250,00"
"Комплект - гібридний інвертор 6 кВт + АКБ 10кВт + Cиловий модуль + Система перемикання + Смарт мітер","€3 000,00"
"SUN 2000-12К-МВО (13,2 kW) НОВИНКА","€2 142,00"
"SUN 2000-15К-МВО (16,5 kW) НОВИНКА","€2 415,00"
"SUN 2000-17К-МВО (18,7 kW) НОВИНКА","€2 470,00"
"SUN 2000-20К-МВО (22 kW) НОВИНКА","€2 609,00"
"SUN 2000-25К-МВО (27,5 kW) НОВИНКА","€2 670,00"
"Battery module LUNA2000-5-E0","€2 115,00"
"Power module LUNA2000-5KW-C0","€855,00"
"Back up system 1-phase","€417,00"
"Back up system 3-phase","€667,00"
"LUNA2000 Wall Mounting Bracket","€78,00"
"Solax Power","за запитом"
"PROSOLAX X1-HYBRID-5.0M","900 $"
"PROSOLAX X1-HYBRID-6.0M","950 $"
"PROSOLAX X1-HYBRID-7.50M","1 250 $"
"PROSOLAX X3-HYBRID-10.0M/D","1 950 $"
"PROSOLAX X3-HYBRID-12.0M/D","2 100 $"
"PROSOLAX X3-HYBRID-15.0M/D","2 000 $"
"PROSOLAX X1-Mate box","620 $"
"PROSOLAX X3-Mate box","690 $"
"Power Meter DDSU666","132 $"
"Power Meter DTSU666-D-CT","190 $"
"Multi X3-EPS BOX","2 079 $"
"PARALLEL BMS BOX-II","1 172 $"
